Panel:ZEN-04-TOP
Revision:1
Serial Number:VEPARB34010007
Date:20240305062354
OP ID:TRI
AOI ID:AOI_POST
Line:AOI_POST
BR(466.750,-2.262),TL(-26.235,451.880)
-------------------------------------------------------------

Board:1
Serial Number:VEPARB34010007
Name	TargX	TargY	Model	Error Clasee	AOI	Reviewed
J120_1~W200	154127	153735	VEPL73839050	OK	FAIL	PASS
J120_1~W201	155008	153241	VEPL73839050	OK	FAIL	PASS
J120_1~W202	155866	152760	VEPL73839050	OK	FAIL	PASS
J120_1~W26	158032	158600	VEPL73839050	OK	FAIL	PASS
J120_1~W27	158901	158112	VEPL73839050	OK	FAIL	PASS
J120_1~W28	135907	164170	VEPL73839050	OK	FAIL	PASS
J120_1~W4	159771	157624	VEPL73839050	OK	FAIL	PASS
J120_1~W54	159955	157950	VEPL73839050	OK	FAIL	PASS
J120_1~W76	158216	158926	VEPL73839050	OK	FAIL	PASS
J120_1~W77	159085	158438	VEPL73839050	OK	FAIL	PASS
J120_1~W78	135723	163844	VEPL73839050	OK	FAIL	PASS
J121_1~W14	149146	132717	VEPL73836004	OK	FAIL	PASS
J121_1~W4	144156	132687	VEPL73836004	OK	FAIL	PASS
J121_1~W8	149116	132687	VEPL73836004	OK	FAIL	PASS
J126_1~W18	166657	183138	VEPL73825008	OK	FAIL	PASS
J126_1~W19	170446	183138	VEPL73825008	OK	FAIL	PASS
J126_1~W2	166666	183935	VEPL73825008	OK	FAIL	PASS
J126_1~W20	167910	183138	VEPL73825008	OK	FAIL	PASS
J126_1~W21	169178	183138	VEPL73825008	OK	FAIL	PASS
J126_1~W22	166704	189878	VEPL73825008	OK	FAIL	PASS
J126_1~W23	170508	189878	VEPL73825008	OK	FAIL	PASS
J126_1~W24	167972	189878	VEPL73825008	OK	FAIL	PASS
J126_1~W25	169240	189878	VEPL73825008	OK	FAIL	PASS
J126_1~W26	166654	183881	VEPL73825008	OK	FAIL	PASS
J126_1~W27	170443	183881	VEPL73825008	OK	FAIL	PASS
J126_1~W28	167907	183881	VEPL73825008	OK	FAIL	PASS
J126_1~W29	169175	183881	VEPL73825008	OK	FAIL	PASS
J126_1~W3	170455	183935	VEPL73825008	OK	FAIL	PASS
J126_1~W30	166709	189134	VEPL73825008	OK	FAIL	PASS
J126_1~W31	170513	189134	VEPL73825008	OK	FAIL	PASS
J126_1~W32	167977	189134	VEPL73825008	OK	FAIL	PASS
J126_1~W33	169245	189134	VEPL73825008	OK	FAIL	PASS
J126_1~W4	167919	183935	VEPL73825008	OK	FAIL	PASS
J126_1~W42	168318	186490	VEPL73825008	OK	FAIL	PASS
J126_1~W5	169187	183935	VEPL73825008	OK	FAIL	PASS
J126_1~W6	166696	189081	VEPL73825008	OK	FAIL	PASS
J126_1~W7	170500	189081	VEPL73825008	OK	FAIL	PASS
J126_1~W8	167964	189081	VEPL73825008	OK	FAIL	PASS
J126_1~W9	169232	189081	VEPL73825008	OK	FAIL	PASS
J127_1~W10	28053	332411	VEPL73825008	OK	FAIL	PASS
J127_1~W11	28053	336200	VEPL73825008	OK	FAIL	PASS
J127_1~W12	28053	333664	VEPL73825008	OK	FAIL	PASS
J127_1~W13	28053	334932	VEPL73825008	OK	FAIL	PASS
J127_1~W14	22435	332437	VEPL73825008	OK	FAIL	PASS
J127_1~W15	22435	336241	VEPL73825008	OK	FAIL	PASS
J127_1~W16	22435	333705	VEPL73825008	OK	FAIL	PASS
J127_1~W17	22435	334973	VEPL73825008	OK	FAIL	PASS
J127_1~W18	28614	332401	VEPL73825008	OK	FAIL	PASS
J127_1~W19	28614	336190	VEPL73825008	OK	FAIL	PASS
J127_1~W2	27817	332410	VEPL73825008	OK	FAIL	PASS
J127_1~W20	28614	333654	VEPL73825008	OK	FAIL	PASS
J127_1~W21	28614	334922	VEPL73825008	OK	FAIL	PASS
J127_1~W22	21874	332448	VEPL73825008	OK	FAIL	PASS
J127_1~W23	21874	336252	VEPL73825008	OK	FAIL	PASS
J127_1~W24	21874	333716	VEPL73825008	OK	FAIL	PASS
J127_1~W25	21874	334984	VEPL73825008	OK	FAIL	PASS
J127_1~W26	27870	332398	VEPL73825008	OK	FAIL	PASS
J127_1~W27	27870	336187	VEPL73825008	OK	FAIL	PASS
J127_1~W28	27870	333651	VEPL73825008	OK	FAIL	PASS
J127_1~W29	27870	334919	VEPL73825008	OK	FAIL	PASS
J127_1~W3	27817	336199	VEPL73825008	OK	FAIL	PASS
J127_1~W30	22617	332453	VEPL73825008	OK	FAIL	PASS
J127_1~W31	22617	336257	VEPL73825008	OK	FAIL	PASS
J127_1~W32	22617	333721	VEPL73825008	OK	FAIL	PASS
J127_1~W33	22617	334989	VEPL73825008	OK	FAIL	PASS
J127_1~W35	28089	336182	VEPL73825008	OK	FAIL	PASS
J127_1~W36	28089	333646	VEPL73825008	OK	FAIL	PASS
J127_1~W38	22398	332458	VEPL73825008	OK	FAIL	PASS
J127_1~W39	22398	336262	VEPL73825008	OK	FAIL	PASS
J127_1~W4	27817	333663	VEPL73825008	OK	FAIL	PASS
J127_1~W40	22398	333726	VEPL73825008	OK	FAIL	PASS
J127_1~W41	22398	334994	VEPL73825008	OK	FAIL	PASS
J127_1~W42	25262	334062	VEPL73825008	OK	FAIL	PASS
J127_1~W5	27817	334931	VEPL73825008	OK	FAIL	PASS
J127_1~W6	22671	332440	VEPL73825008	OK	FAIL	PASS
J127_1~W7	22671	336244	VEPL73825008	OK	FAIL	PASS
J127_1~W8	22671	333708	VEPL73825008	OK	FAIL	PASS
J127_1~W9	22671	334976	VEPL73825008	OK	FAIL	PASS
J129_1~W42	419133	305292	VEPL73825008	OK	FAIL	PASS
J130_1~W42	398364	44291	VEPL73825008	OK	FAIL	PASS
J133_1~W42	419095	311991	VEPL73825008	OK	FAIL	PASS
J134_1~W18	387830	52792	VEPL73825008	OK	FAIL	PASS
J134_1~W19	387830	49003	VEPL73825008	OK	FAIL	PASS
J134_1~W20	387830	51539	VEPL73825008	OK	FAIL	PASS
J134_1~W21	387830	50271	VEPL73825008	OK	FAIL	PASS
J134_1~W22	394570	52745	VEPL73825008	OK	FAIL	PASS
J134_1~W23	394570	48941	VEPL73825008	OK	FAIL	PASS
J134_1~W24	394570	51477	VEPL73825008	OK	FAIL	PASS
J134_1~W25	394570	50209	VEPL73825008	OK	FAIL	PASS
J134_1~W26	388573	52796	VEPL73825008	OK	FAIL	PASS
J134_1~W27	388573	49007	VEPL73825008	OK	FAIL	PASS
J134_1~W28	388573	51543	VEPL73825008	OK	FAIL	PASS
J134_1~W29	388573	50275	VEPL73825008	OK	FAIL	PASS
