Panel:ZEN-04-BOT
Revision:1
Serial Number:VEPARB34010007
Date:20240305033933
OP ID:TRI
AOI ID:AOI_POST
Line:AOI_POST
BR(481.765,7.433),TL(2.154,446.583)
-------------------------------------------------------------

Board:1
Serial Number:VEPARB34010007
Name	TargX	TargY	Model	Error Clasee	AOI	Reviewed
Q87_1~W19	140059	250587	VEPL33511270	OK	FAIL	PASS
Q87_1~W20	140059	249292	VEPL33511270	OK	FAIL	PASS
Q87_1~W21	140059	249924	VEPL33511270	OK	FAIL	PASS
Q87_1~W22	142401	250584	VEPL33511270	OK	FAIL	PASS
Q87_1~W23	142401	249290	VEPL33511270	OK	FAIL	PASS
Q87_1~W24	142401	249922	VEPL33511270	OK	FAIL	PASS
Q87_1~W25	140409	250608	VEPL33511270	OK	FAIL	PASS
Q87_1~W26	140409	249313	VEPL33511270	OK	FAIL	PASS
Q87_1~W27	140409	249945	VEPL33511270	OK	FAIL	PASS
Q90_1~W5	211184	252253	VEPL33511270	OK	FAIL	PASS
Q92_1~W2	213762	251973	VEPL33511270	OK	FAIL	PASS
R1994_1~W1	270818	290201	VEPL13608206	OK	FAIL	PASS
R1994_1~W4	270810	290207	VEPL13608206	OK	FAIL	PASS
R2045_1~W2	265361	287474	VEPL16881875	OK	FAIL	PASS
R2860_1~W4	369382	347764	VEPL11798221	OK	FAIL	PASS
R3238_1~W4	148786	328686	VEPL16103125	OK	FAIL	PASS
R3603_1~W3	207991	305472	VEPL11102202	OK	FAIL	PASS
R3872_1~W3	158865	171081	VEPL117334040	OK	FAIL	PASS
R3879_1~W3	151573	137770	VEPL117334040	OK	FAIL	PASS
R3991_1~W3	213043	204808	VEPL16920093	OK	FAIL	PASS
R4200_1~W1	172982	291278	VEPL13120625	Sideward	FAIL	FAIL
R4200_1~W4	172990	291275	VEPL13120625	OK	FAIL	PASS
R4242_1~W2	264218	287474	VEPL16881875	OK	FAIL	PASS
R4243_1~W3	264598	295222	VEPL16881875	OK	FAIL	PASS
R4246_1~W2	265361	284680	VEPL16881875	OK	FAIL	PASS
R4269_1~W2	255587	209511	VEPL13120625	OK	FAIL	PASS
R4350_1~W1	279052	343479	VEPL11095000	OK	FAIL	PASS
R649_1~W2	141610	313157	VEPL12614103	OK	FAIL	PASS
U159_1~W10	163285	255478	VEPL33884005	OK	FAIL	PASS
U161_1~W10	136369	336399	VEPL33928004	OK	FAIL	PASS
U161_1~W11	136369	334515	VEPL33928004	OK	FAIL	PASS
U161_1~W12	133661	334444	VEPL33928004	OK	FAIL	PASS
U161_1~W13	135753	336346	VEPL33928004	OK	FAIL	PASS
U161_1~W14	135753	334462	VEPL33928004	OK	FAIL	PASS
U161_1~W17	133039	336157	VEPL33928004	OK	FAIL	PASS
U161_1~W18	133685	336157	VEPL33928004	OK	FAIL	PASS
U161_1~W9	133045	334392	VEPL33928004	OK	FAIL	PASS
U162_1~W10	175390	349845	VEPL33929032	OK	FAIL	PASS
U162_1~W34	173593	351657	VEPL33929032	OK	FAIL	PASS
U165_1~W14	147735	250934	VEPL33876006	OK	FAIL	PASS
U165_1~W16	146469	253748	VEPL33876006	OK	FAIL	PASS
U165_1~W17	147770	253748	VEPL33876006	OK	FAIL	PASS
U165_1~W18	147120	253748	VEPL33876006	OK	FAIL	PASS
